condition,train_ratio,eval_ratio,seed,delta_mcc,delta_f1,delta_precision,delta_recall,delta_pr_auc
random_flip_20,70/30,90/10,4,-0.050689796537724471,-0.041808855450106208,-0.026571234472821791,-0.038095238095238057,-0.10718294279467103
random_flip_20,70/30,90/10,5,-0.13780646253899165,-0.10999687178582414,-0.068136425591645372,-0.18095238095238098,-0.15944358942330564
random_flip_20,75/25,50/50,1,-0.1069932569702287,-0.095812631396713546,-0.034771241830065372,-0.10476190476190488,-0.052430115789810869
random_flip_20,75/25,50/50,2,-0.1570896412236798,-0.083446685258401154,-0.10331405436668599,-0.028571428571428546,-0.11089966170113649
random_flip_20,75/25,50/50,3,-0.17076514499674195,-0.14719158914098598,-0.057582020662516074,-0.16190476190476188,-0.097074129619797556
random_flip_20,75/25,50/50,4,-0.20830609968760155,-0.15277555006373986,-0.087810457516339757,-0.15238095238095245,-0.07533634436794838
random_flip_20,75/25,50/50,5,-0.13700223501384387,-0.10471177629806758,-0.076641749203668688,-0.095238095238095316,-0.11213718778777826
random_flip_20,75/25,60/40,1,-0.084626534922828386,-0.090112624153536783,0.00267997580157302,-0.10476190476190488,-0.060669534799349181
random_flip_20,75/25,60/40,2,-0.10444410493708658,-0.075005531847637072,-0.073823529411764705,-0.028571428571428546,-0.050866648777792588
random_flip_20,75/25,60/40,3,-0.22933062253537492,-0.17014072438627065,-0.13000400528264311,-0.16190476190476188,-0.17411093375143477
random_flip_20,75/25,60/40,4,-0.18045763483098823,-0.14603880503536279,-0.066977157689231931,-0.15238095238095245,-0.12430119427905477
random_flip_20,75/25,60/40,5,-0.19669073137220333,-0.14025773620608639,-0.13520456617710624,-0.095238095238095316,-0.10189539341688458
random_flip_20,75/25,70/30,1,-0.09568814761406183,-0.087378233876953842,-0.051108114108114132,-0.10476190476190488,-0.062776165180436827
random_flip_20,75/25,70/30,2,-0.083557558854062866,-0.068971272542960399,-0.059998309668695106,-0.028571428571428546,-0.014239645655303912
random_flip_20,75/25,70/30,3,-0.19333280902040689,-0.16281037654091191,-0.091567415270201652,-0.16190476190476188,-0.2174879630031144
random_flip_20,75/25,70/30,4,-0.23486316234549237,-0.16981388016705062,-0.15957785697757637,-0.15238095238095245,-0.14982021876534546
random_flip_20,75/25,70/30,5,-0.17254283412348884,-0.14249200139805768,-0.099157016123113922,-0.095238095238095316,-0.13279720099200812
random_flip_20,75/25,75/25,1,-0.12089874740716296,-0.11238092742911747,-0.051747224678259138,-0.10476190476190488,-0.11430816034329365
random_flip_20,75/25,75/25,2,-0.18458621051455454,-0.13259827342308167,-0.17961904761904765,-0.028571428571428546,-0.13481374204768187
random_flip_20,75/25,75/25,3,-0.15422518777531377,-0.14135292167369148,-0.061874176548089535,-0.16190476190476188,-0.14149837500547319
random_flip_20,75/25,75/25,4,-0.15082917013950156,-0.14232824274531683,-0.03323678819930688,-0.15238095238095245,-0.12373009045964131
random_flip_20,75/25,75/25,5,-0.16385266995669362,-0.1503310678627667,-0.092847598404400752,-0.095238095238095316,-0.087086761265368073
random_flip_20,75/25,80/20,1,-0.083805087888112223,-0.086146508567629648,-0.011769657972219483,-0.10476190476190488,-0.021642467422260704
random_flip_20,75/25,80/20,2,-0.11652533373765031,-0.10173855269487948,-0.10595037710827201,-0.028571428571428546,-0.113669494810583
random_flip_20,75/25,80/20,3,-0.091772735203824549,-0.095690152480452678,0.006216003802210701,-0.16190476190476188,-0.17665942861814748
random_flip_20,75/25,80/20,4,-0.19501136727868559,-0.17567593781932786,-0.11650641025641026,-0.15238095238095245,-0.15361955369962366
random_flip_20,75/25,80/20,5,-0.14328168899555868,-0.14289655903941614,-0.037551851507609403,-0.095238095238095316,-0.066076298496067415
random_flip_20,75/25,90/10,1,-0.081938282208999014,-0.078647275187064269,-0.031194701472273885,-0.10476190476190488,-0.13095142761608342
random_flip_20,75/25,90/10,2,-0.10165902906744033,-0.10138839929096174,-0.0806882779571855,-0.028571428571428546,-0.087070644355442123
random_flip_20,75/25,90/10,3,-0.12593996699841636,-0.11876382102586565,-0.038131394139445073,-0.16190476190476188,-0.21475193364044198
random_flip_20,75/25,90/10,4,-0.15183212558531636,-0.13827488522417225,-0.081049884207778922,-0.15238095238095245,-0.18876472853137247
random_flip_20,75/25,90/10,5,-0.17604475189878416,-0.16853388399418204,-0.13480208168031801,-0.095238095238095316,-0.17763063412235475
random_flip_20,80/20,50/50,1,-0.10647341663793504,-0.099140118982117345,-0.033752178334221686,-0.08571428571428566,-0.071910908290324163
random_flip_20,80/20,50/50,2,-0.070822381654294247,-0.034095811959101316,-0.068361638361638472,0.019047619047619046,-0.073006311514546993
random_flip_20,80/20,50/50,3,-0.1581863803777693,-0.10258001552953326,-0.10143141945773523,-0.047619047619047575,-0.057400185582863993
random_flip_20,80/20,50/50,4,-0.18523531608923804,-0.14932085835311631,-0.10238095238095243,-0.095238095238095191,-0.10421107967424466
random_flip_20,80/20,50/50,5,-0.25235649565196094,-0.20687827767745209,-0.033260624824092241,-0.1714285714285714,-0.097578922368010468
random_flip_20,80/20,60/40,1,-0.10667721296934077,-0.10277738677191488,-0.037993864767320182,-0.08571428571428566,-0.092051454194548007
random_flip_20,80/20,60/40,2,-0.066572468658071857,-0.036531811780573784,-0.085274725274725349,0.019047619047619046,-0.090583576601393004
random_flip_20,80/20,60/40,3,-0.17501544837103369,-0.11571571167530112,-0.1392814608738413,-0.047619047619047575,-0.071920680981196639
random_flip_20,80/20,60/40,4,-0.22745601365892631,-0.17482720772883747,-0.14633961068171591,-0.095238095238095191,-0.12703827081178959
random_flip_20,80/20,60/40,5,-0.26063459854913978,-0.21997255761083281,-0.049072972623865896,-0.1714285714285714,-0.081111808512408082
random_flip_20,80/20,70/30,1,-0.18515881832016098,-0.15439868679829991,-0.13008764111705293,-0.08571428571428566,-0.16120278271896241
random_flip_20,80/20,70/30,2,-0.089698208006710939,-0.054451830592155546,-0.11741883933060407,0.019047619047619046,-0.10093685378488586
random_flip_20,80/20,70/30,3,-0.10129657908150984,-0.095129857134068629,-0.055889694041868013,-0.047619047619047575,-0.11426238394628967
random_flip_20,80/20,70/30,4,-0.1564339741111842,-0.15205754930394699,-0.056086686103713958,-0.095238095238095191,-0.087025390254462515
random_flip_20,80/20,70/30,5,-0.24562177539361391,-0.21678706407084417,-0.042804441934876723,-0.1714285714285714,-0.13889434033875961
random_flip_20,80/20,75/25,1,-0.091432902088988938,-0.0976616187013786,-0.030054708348719282,-0.08571428571428566,-0.10016483388805153
random_flip_20,80/20,75/25,2,-0.10234030093664188,-0.079670016819077816,-0.097613783275548066,0.019047619047619046,-0.14944744716545783
random_flip_20,80/20,75/25,3,-0.10837281521971401,-0.10987759940391517,-0.038140850209815655,-0.047619047619047575,-0.010211738965485162
random_flip_20,80/20,75/25,4,-0.16083160485034104,-0.15466511200706945,-0.085308131990054048,-0.095238095238095191,-0.11607291186778852
random_flip_20,80/20,75/25,5,-0.32099416735348435,-0.27058615965183952,-0.12687814133816927,-0.1714285714285714,-0.14752680766645268
random_flip_20,80/20,80/20,1,-0.098415163362708266,-0.10669231300556366,-0.016677940795587674,-0.08571428571428566,-0.15950574890415309
random_flip_20,80/20,80/20,2,-0.13850982353846333,-0.10096114037490551,-0.19372463524690633,0.019047619047619046,-0.18148818925961013
random_flip_20,80/20,80/20,3,-0.086743587477057182,-0.09209223428123077,-0.039270884400431375,-0.047619047619047575,-0.093676149654204816
random_flip_20,80/20,80/20,4,-0.25412940453142191,-0.22362353738215809,-0.20350483953815141,-0.095238095238095191,-0.17266070837336112
random_flip_20,80/20,80/20,5,-0.20754234226559562,-0.19974437103699288,0.00055708356978783073,-0.1714285714285714,-0.1060088428709665
random_flip_20,80/20,90/10,1,-0.10687697872859378,-0.12788207269340748,-0.0047120257978209845,-0.08571428571428566,-0.13207546297627509
random_flip_20,80/20,90/10,2,-0.064831844527240529,-0.083846909803605915,-0.029754346715960178,0.019047619047619046,-0.08791699907872412
random_flip_20,80/20,90/10,3,-0.090336116437698441,-0.0922142254030799,-0.079879211412377804,-0.047619047619047575,-0.086460264671454928
random_flip_20,80/20,90/10,4,-0.14677609742050862,-0.15372337797068086,-0.098246861294805823,-0.095238095238095191,-0.15581952567386365
random_flip_20,80/20,90/10,5,-0.23045737135467853,-0.21875355201937946,-0.079703407609878735,-0.1714285714285714,-0.13822261431865482
random_flip_20,90/10,50/50,1,-0.66303169168975307,-0.55954713804713796,-0.84561403508771937,-0.44761904761904764,-0.50038471717046451
random_flip_20,90/10,50/50,2,-0.64761409090408983,-0.66613275613275591,-0.74551378446115291,-0.59047619047619038,-0.49108807733220478
random_flip_20,90/10,50/50,3,-0.6714027642918502,-0.60885463150777552,-0.9363697705802968,-0.48571428571428565,-0.49017585600847369
random_flip_20,90/10,50/50,4,-0.61256652241255771,-0.57966576823250904,-0.74833333333333329,-0.47619047619047616,-0.499196924624637
random_flip_20,90/10,50/50,5,-0.50896921739078105,-0.35880613720681626,-0.53385620915032672,-0.22857142857142848,-0.47522692078412199
random_flip_20,90/10,60/40,1,-0.53694364560622998,-0.526564281247208,-0.70190476190476181,-0.44761904761904764,-0.46337930980216913
random_flip_20,90/10,60/40,2,-0.74489351923699776,-0.68222867568198631,-0.83071895424836595,-0.59047619047619038,-0.56542574136674206
random_flip_20,90/10,60/40,3,-0.64989331699947939,-0.59401367989056086,-0.89118104118104102,-0.48571428571428565,-0.44716413802548372
random_flip_20,90/10,60/40,4,-0.53257338461793557,-0.56415526927448389,-0.61801378446115296,-0.47619047619047616,-0.51108436792937284
random_flip_20,90/10,60/40,5,-0.5174681729882058,-0.37559941460870239,-0.55943015918598604,-0.22857142857142848,-0.45063187504587965
random_flip_20,90/10,70/30,1,-0.64471240466189006,-0.54399709426908893,-0.82112554112554115,-0.44761904761904764,-0.54596072772885262
random_flip_20,90/10,70/30,2,-0.64052055151754761,-0.60016936709956048,-0.627142857142857,-0.59047619047619038,-0.46760775755637329
random_flip_20,90/10,70/30,3,-0.65471771721280658,-0.58973665873727188,-0.88611388611388597,-0.48571428571428565,-0.58715658820348593
random_flip_20,90/10,70/30,4,-0.48153535134360342,-0.50966157009050195,-0.56459595959595943,-0.47619047619047616,-0.51580180017256916
random_flip_20,90/10,70/30,5,-0.5282560917813901,-0.39570299473525278,-0.60697197539302805,-0.22857142857142848,-0.57408873954973283
random_flip_20,90/10,75/25,1,-0.54764739295824816,-0.51589141836465235,-0.71442490842490847,-0.44761904761904764,-0.54410430879440008
random_flip_20,90/10,75/25,2,-0.63055162023929845,-0.60831991866474611,-0.69286062378167634,-0.59047619047619038,-0.53307242611233718
random_flip_20,90/10,75/25,3,-0.592502449708044,-0.5329907255864702,-0.71706948022737493,-0.48571428571428565,-0.47836293621563836
random_flip_20,90/10,75/25,4,-0.58828812396026331,-0.53718338399189458,-0.67433122433122428,-0.47619047619047616,-0.53802141464085285
random_flip_20,90/10,75/25,5,-0.53606230428583623,-0.39590310442351617,-0.61475210512772527,-0.22857142857142848,-0.56207928880166169
random_flip_20,90/10,80/20,1,-0.53234193425173904,-0.48252036493971973,-0.65719353242039247,-0.44761904761904764,-0.48563877913582065
random_flip_20,90/10,80/20,2,-0.64638073972061827,-0.59572210585113816,-0.66091435485264882,-0.59047619047619038,-0.60855397042826309
random_flip_20,90/10,80/20,3,-0.55330762491768548,-0.50412130597496441,-0.66670995670995659,-0.48571428571428565,-0.50052199010151743
random_flip_20,90/10,80/20,4,-0.63857714102182839,-0.56959282941255229,-0.79057806572512457,-0.47619047619047616,-0.64176393708981239
random_flip_20,90/10,80/20,5,-0.54046649250893253,-0.39413932301038523,-0.55312685560053976,-0.22857142857142848,-0.44824726211220167
random_flip_20,90/10,90/10,1,-0.45771373881733018,-0.40950584498528109,-0.53411874400109693,-0.44761904761904764,-0.44320362782226247
random_flip_20,90/10,90/10,2,-0.56222982996663962,-0.5232010089360003,-0.52181404321149771,-0.59047619047619038,-0.49583482341446911
random_flip_20,90/10,90/10,3,-0.53999266230721688,-0.47954078995939459,-0.63073593073593059,-0.48571428571428565,-0.5440008738705826
random_flip_20,90/10,90/10,4,-0.46104636546832517,-0.43759994018229342,-0.47702657004830906,-0.47619047619047616,-0.44808663031002638
random_flip_20,90/10,90/10,5,-0.50197165756227458,-0.39859172573458285,-0.56497786211258705,-0.22857142857142848,-0.50770274509161739
